,url,product_name,brands,countries,image_url,image_small_url,energy-kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,categories_tags
32164,http://world-en.openfoodfacts.org/product/0017400105051/yellow-rice-mahatma,Yellow rice,Mahatma,Poland,https://images.openfoodfacts.org/images/products/001/740/010/5051/front_en.11.400.jpg,https://images.openfoodfacts.org/images/products/001/740/010/5051/front_en.11.200.jpg,350.87719298246,0.0,77.19298245614,1.7543859649123,7.0175438596491,3.2894736842105,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices"
337244,http://world-en.openfoodfacts.org/product/02751153/sok-grejpfrutowy-victoria,Sok grejpfrutowy,"Victoria,Cymes",Polska,https://images.openfoodfacts.org/images/products/02751153/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/02751153/front_pl.4.200.jpg,40.0,0.0,9.5,6.7,0.5,0.0,"en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:squeezed-juices"
354807,http://world-en.openfoodfacts.org/product/0602652258244/honey-roasted-nuts-sea-salt-be-kind,Honey roasted nuts & sea salt,Be-Kind,Polska,https://images.openfoodfacts.org/images/products/060/265/225/8244/front_en.35.400.jpg,https://images.openfoodfacts.org/images/products/060/265/225/8244/front_en.35.200.jpg,513.0,38.0,37.0,12.0,15.5,0.9,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:sweet-snacks,en:nuts-and-their-products,en:bars,en:nuts"
374929,http://world-en.openfoodfacts.org/product/0654479001367/caramels-delaunay-leveille,Caramels,Delaunay Leveille,Polska,https://images.openfoodfacts.org/images/products/065/447/900/1367/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/065/447/900/1367/front_en.4.200.jpg,407.0,9.9,77.1,43.7,2.4,1.8,"en:snacks,en:sweet-snacks,en:confectioneries,en:caramels"
511475,http://world-en.openfoodfacts.org/product/10041475/red-onions-tesco,Red onions,Tesco,Polska,https://images.openfoodfacts.org/images/products/10041475/front_pl.6.400.jpg,https://images.openfoodfacts.org/images/products/10041475/front_pl.6.200.jpg,39.0,0.10000000149012,8.0,6.1999998092651,1.0,1.0,
525737,http://world-en.openfoodfacts.org/product/17168144/daktyle-suszone-s%C5%82odkie-zdrowie,Daktyle suszone,Słodkie Zdrowie,Polska,https://images.openfoodfacts.org/images/products/17168144/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/17168144/front_pl.4.200.jpg,282.0,0.4,67.0,63.4,2.5,0.005,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:dates"
528069,http://world-en.openfoodfacts.org/product/1920917001916/kasza-gryczana-pra%C5%BCona-plony-natury,kasza gryczana prażona,Plony Natury,Poland,https://images.openfoodfacts.org/images/products/192/091/700/1916/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/192/091/700/1916/front_pl.4.200.jpg,104.0,1.08,20.0,0.385,3.0,0.00769,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:buckwheat"
536396,http://world-en.openfoodfacts.org/product/2000004165772/chleb-z-kie%C5%82kami-%C5%BCyta-auchan,Chleb z kiełkami żyta,Auchan,Polska,https://images.openfoodfacts.org/images/products/200/000/416/5772/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/200/000/416/5772/front_pl.4.200.jpg,229.0,1.2,42.0,4.1,9.9,1.4,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads"
536802,http://world-en.openfoodfacts.org/product/2000034141289/majonez-sto%C5%82owy-wild-bean-cafe,Majonez stołowy,"Wild Bean Cafe,Roleski",Poland,https://images.openfoodfacts.org/images/products/200/003/414/1289/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/200/003/414/1289/front_pl.4.200.jpg,498.0,53.0,4.5,3.1,1.6,0.7,"en:groceries,en:sauces,en:mayonnaises"
538523,http://world-en.openfoodfacts.org/product/20013721/mleczko-pianka-o-smaku-waniliowym-w-czekoladzie-couverture-lidl,Mleczko - pianka o smaku waniliowym w czekoladzie couverture,Lidl,Polska,https://images.openfoodfacts.org/images/products/20013721/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20013721/front_pl.4.200.jpg,415.0,15.0,67.0,50.0,1.8,0.01,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies"
539519,http://world-en.openfoodfacts.org/product/20034467/ry%C5%BC-na-mleku-z-15-sosem-czekoladowym-pilos,Ryż na mleku z 15% sosem czekoladowym.,"Pilos,Milbona",Polska,https://images.openfoodfacts.org/images/products/20034467/front_pl.18.400.jpg,https://images.openfoodfacts.org/images/products/20034467/front_pl.18.200.jpg,129.0,2.9,22.3,14.3,3.1,0.28,"en:desserts,en:puddings,en:rice-puddings"
540492,http://world-en.openfoodfacts.org/product/20046125/napoj-gazowany-o-smaku-pomara%C5%84czowym-lidl,Napój gazowany o smaku pomarańczowym,Lidl,Polska,https://images.openfoodfacts.org/images/products/20046125/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20046125/front_pl.4.200.jpg,38.8,0.0,9.6,9.6,0.1,0.0,"pl:napoj,pl:napoj-gazowany"
540852,http://world-en.openfoodfacts.org/product/20052621/m%C4%85ka-pszenna-castello,Mąka pszenna,Castello,Polska,https://images.openfoodfacts.org/images/products/20052621/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20052621/front_pl.4.200.jpg,350.0,1.5,73.0,2.1,12.0,0.01,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:flours"
540854,http://world-en.openfoodfacts.org/product/20052652/m%C4%85ka-pszenna-typ-650-lidl,Mąka pszenna typ 650,Lidl,Polska,https://images.openfoodfacts.org/images/products/20052652/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20052652/front_pl.4.200.jpg,341.0,1.6,68.8,2.3,11.0,0.0,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:flours,en:cereal-flours,en:wheat-flours"
540958,http://world-en.openfoodfacts.org/product/20053963/ry%C5%BC-bia%C5%82y-d%C5%82ugoziarnisty-lidl,Ryż biały długoziarnisty,Lidl,Poland,https://images.openfoodfacts.org/images/products/20053963/front_pl.3.400.jpg,https://images.openfoodfacts.org/images/products/20053963/front_pl.3.200.jpg,353.0,0.7,79.0,0.2,6.7,0.02,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices,en:white-rices"
541075,http://world-en.openfoodfacts.org/product/20055790/pieczarki-marynowane-baresa,Pieczarki marynowane,Baresa,Poland,https://images.openfoodfacts.org/images/products/20055790/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20055790/front_pl.4.200.jpg,31.0,0.5,3.2,2.7,2.3,1.0,"pl:grzyby,pl:marynata"
541293,http://world-en.openfoodfacts.org/product/20059279/kie%C5%82basa-rakowska-pikok,Kiełbasa Rakowska,"Pikok,Lidl,Bell",Polska,https://images.openfoodfacts.org/images/products/20059279/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20059279/front_pl.4.200.jpg,183.0,9.0,3.5,0.3,22.0,2.3,pl:kiełbasa-wieprzowa
541915,http://world-en.openfoodfacts.org/product/20060800/kie%C5%82basa-%C5%9Bl%C4%85ska-pikok,Kiełbasa śląska,"Pikok,Lidl",Polska,https://images.openfoodfacts.org/images/products/20060800/front_pl.22.400.jpg,https://images.openfoodfacts.org/images/products/20060800/front_pl.22.200.jpg,248.0,20.0,2.0,0.5,15.0,2.2,"en:meats,en:prepared-meats,en:sausages,en:kiełbasa"
541951,http://world-en.openfoodfacts.org/product/20062057/mleko-%C5%9Bwie%C5%BCe-bez-laktozy-2-t%C5%82uszczu-pilos,Mleko świeże bez laktozy 2% tłuszczu,Pilos,Polska,https://images.openfoodfacts.org/images/products/20062057/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20062057/front_pl.4.200.jpg,49.0,2.0,4.7,4.7,3.0,0.1,"en:dairies,en:milks"
543236,http://world-en.openfoodfacts.org/product/20089191/ser-emmentaler-pilos,Ser emmentaler,Pilos,Poland,https://images.openfoodfacts.org/images/products/20089191/front_pl.6.400.jpg,https://images.openfoodfacts.org/images/products/20089191/front_pl.6.200.jpg,388.0,29.5,0.1,0.1,30.5,0.8,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses"
543773,http://world-en.openfoodfacts.org/product/20096410/filety-z-makreli-w-sosie-pomidorowym-nautica,Filety z makreli w sosie pomidorowym,Nautica,Polska,https://images.openfoodfacts.org/images/products/20096410/front_pl.4.400.jpg,https://images.openfoodfacts.org/images/products/20096410/front_pl.4.200.jpg,180.0,12.0,5.1,5.1,13.0,0.68,"pl:konserwa-rybna,pl:ryba"
545490,http://world-en.openfoodfacts.org/product/20127503/galaretki-o-smaku-wi%C5%9Bniowym-w-czekoladzie-czekolateria,Galaretki o smaku wiśniowym w czekoladzie,"Czekolateria,Lidl",Polska,https://images.openfoodfacts.org/images/products/20127503/front_pl.11.400.jpg,https://images.openfoodfacts.org/images/products/20127503/front_pl.11.200.jpg,391.0,8.0,77.0,53.0,1.0,0.28,"en:snacks,en:sweet-snacks"
545958,http://world-en.openfoodfacts.org/product/20142322/ketchup-pikantny-kania,Ketchup pikantny,"Kania,Lidl",Poland,https://images.openfoodfacts.org/images/products/20142322/front_pl.13.400.jpg,https://images.openfoodfacts.org/images/products/20142322/front_pl.13.200.jpg,140.0,0.1,33.0,29.0,1.3,3.2,"en:groceries,en:sauces,en:tomato-sauces,en:ketchup"
